Epoch 1 Batch 12400 Loss 0.8648 Accuracy 0.1515
Epoch 1 Batch 12450 Loss 0.8663 Accuracy 0.1521
Epoch 1 Batch 12500 Loss 0.8677 Accuracy 0.1526
Epoch 1 Batch 12550 Loss 0.8691 Accuracy 0.1532
Epoch 1 Batch 12600 Loss 0.8703 Accuracy 0.1537
Epoch 1 Batch 12650 Loss 0.8716 Accuracy 0.1542
Epoch 1 Batch 12700 Loss 0.8728 Accuracy 0.1547
Epoch 1 Batch 12750 Loss 0.8739 Accuracy 0.1552
Epoch 1 Batch 12800 Loss 0.8749 Accuracy 0.1556
Epoch 1 Batch 12850 Loss 0.8758 Accuracy 0.1561
Epoch 1 Batch 12900 Loss 0.8769 Accuracy 0.1565
Epoch 1 Batch 12950 Loss 0.8783 Accuracy 0.1570
Epoch 1 Batch 13000 Loss 0.8798 Accuracy 0.1574
Epoch 1 Batch 13050 Loss 0.8812 Accuracy 0.1579
Epoch 1 Batch 13100 Loss 0.8826 Accuracy 0.1583
Epoch 1 Batch 13150 Loss 0.8840 Accuracy 0.1588
Epoch 1 Batch 13200 Loss 0.8854 Accuracy 0.1592
Epoch 1 Batch 13250 Loss 0.8866 Accuracy 0.1597
Epoch 1 Batch 13300 Loss 0.8878 Accuracy 0.1601
Epoch 1 Batch 13350 Loss 0.8889 Accuracy 0.1606
Epoch 1 Batch 13400 Loss 0.8899 Accuracy 0.1610
Epoch 1 Batch 13450 Loss 0.8909 Accuracy 0.1614
Epoch 1 Batch 13500 Loss 0.8918 Accuracy 0.1619
Epoch 1 Batch 13550 Loss 0.8927 Accuracy 0.1624
Epoch 1 Batch 13600 Loss 0.8936 Accuracy 0.1628
Epoch 1 Batch 13650 Loss 0.8945 Accuracy 0.1633
Epoch 1 Batch 13700 Loss 0.8953 Accuracy 0.1637
Epoch 1 Batch 13750 Loss 0.8964 Accuracy 0.1642
Epoch 1 Batch 13800 Loss 0.8974 Accuracy 0.1647
Epoch 1 Batch 13850 Loss 0.8981 Accuracy 0.1651
Epoch 1 Batch 13900 Loss 0.8985 Accuracy 0.1654
Epoch 1 Batch 13950 Loss 0.8986 Accuracy 0.1656
Epoch 1 Batch 14000 Loss 0.8984 Accuracy 0.1657
Epoch 1 Batch 14050 Loss 0.8981 Accuracy 0.1658
Epoch 1 Batch 14100 Loss 0.8977 Accuracy 0.1659
Epoch 1 Batch 14150 Loss 0.8972 Accuracy 0.1659
Epoch 1 Batch 14200 Loss 0.8966 Accuracy 0.1659
Epoch 1 Batch 14250 Loss 0.8959 Accuracy 0.1658
Epoch 1 Batch 14300 Loss 0.8951 Accuracy 0.1658
Epoch 1 Batch 14350 Loss 0.8947 Accuracy 0.1658
Epoch 1 Batch 14400 Loss 0.8947 Accuracy 0.1659
Epoch 1 Batch 14450 Loss 0.8950 Accuracy 0.1660
Epoch 1 Batch 14500 Loss 0.8956 Accuracy 0.1661
Epoch 1 Batch 14550 Loss 0.8964 Accuracy 0.1663
Epoch 1 Batch 14600 Loss 0.8975 Accuracy 0.1666
Epoch 1 Batch 14650 Loss 0.8986 Accuracy 0.1668
Epoch 1 Batch 14700 Loss 0.9000 Accuracy 0.1671
Epoch 1 Batch 14750 Loss 0.9014 Accuracy 0.1674
Epoch 1 Batch 14800 Loss 0.9029 Accuracy 0.1677
Epoch 1 Batch 14850 Loss 0.9044 Accuracy 0.1680
Epoch 1 Batch 14900 Loss 0.9061 Accuracy 0.1684
Epoch 1 Batch 14950 Loss 0.9078 Accuracy 0.1688
Epoch 1 Batch 15000 Loss 0.9096 Accuracy 0.1691
Epoch 1 Batch 15050 Loss 0.9114 Accuracy 0.1695
Epoch 1 Batch 15100 Loss 0.9133 Accuracy 0.1699
Epoch 1 Batch 15150 Loss 0.9152 Accuracy 0.1703
Epoch 1 Batch 15200 Loss 0.9171 Accuracy 0.1707
Epoch 1 Batch 15250 Loss 0.9190 Accuracy 0.1711
Epoch 1 Batch 15300 Loss 0.9207 Accuracy 0.1715
Epoch 1 Batch 15350 Loss 0.9225 Accuracy 0.1719
Epoch 1 Batch 15400 Loss 0.9244 Accuracy 0.1723
Epoch 1 Batch 15450 Loss 0.9261 Accuracy 0.1727
Epoch 1 Batch 15500 Loss 0.9280 Accuracy 0.1731
Epoch 1 Batch 15550 Loss 0.9297 Accuracy 0.1736
Epoch 1 Batch 15600 Loss 0.9314 Accuracy 0.1741
Epoch 1 Batch 15650 Loss 0.9331 Accuracy 0.1745
Epoch 1 Batch 15700 Loss 0.9347 Accuracy 0.1750
Epoch 1 Batch 15750 Loss 0.9364 Accuracy 0.1754
Epoch 1 Batch 15800 Loss 0.9382 Accuracy 0.1759
Epoch 1 Batch 15850 Loss 0.9398 Accuracy 0.1763
Epoch 1 Batch 15900 Loss 0.9412 Accuracy 0.1767
Epoch 1 Batch 15950 Loss 0.9423 Accuracy 0.1772
Epoch 1 Batch 16000 Loss 0.9433 Accuracy 0.1777
Epoch 1 Batch 16050 Loss 0.9443 Accuracy 0.1782
Epoch 1 Batch 16100 Loss 0.9453 Accuracy 0.1787
Epoch 1 Batch 16150 Loss 0.9463 Accuracy 0.1792
Epoch 1 Batch 16200 Loss 0.9472 Accuracy 0.1796
Epoch 1 Batch 16250 Loss 0.9479 Accuracy 0.1801
Epoch 1 Batch 16300 Loss 0.9487 Accuracy 0.1806
Epoch 1 Batch 16350 Loss 0.9497 Accuracy 0.1811
